model,phase,frequency_a,frequency_b,seeds,power_fraction_median,power_fraction_min,power_fraction_max,on_modular_diagonal
kan,final,-8,-10,5,0.00010238491813652217,1.9440225514699705e-05,0.0006118176388554275,False
kan,final,-8,-9,5,4.890422860626131e-05,2.134298483724706e-05,0.0003288226725999266,False
kan,final,-8,-8,5,0.0314464271068573,0.020471269264817238,0.03307623416185379,True
kan,final,-8,-7,5,9.137355664279312e-05,1.2546826837933622e-05,0.00020794315787497908,False
kan,final,-8,-6,5,4.250722849974409e-05,1.4096133782004472e-05,0.0003505260101519525,False
kan,final,-8,-5,5,4.136132338317111e-05,1.4659359294455498e-05,0.0002313132572453469,False
kan,final,-8,-4,5,3.291096800239757e-05,1.2683251043199562e-05,0.00017024565022438765,False
kan,final,-8,-3,5,4.635196091840044e-05,2.0296181901358068e-05,0.00017470352759119123,False
kan,final,-8,-2,5,4.257982800481841e-05,1.2289163350942545e-05,0.00010723747982410714,False
kan,final,-8,-1,5,3.8221882277866825e-05,7.954465218062978e-06,0.00014356794417835772,False
kan,final,-8,0,5,0.00021111599926371127,3.9808048313716426e-05,0.0008285637013614178,False
kan,final,-8,1,5,3.862166340695694e-05,2.140635479008779e-05,0.00021997316798660904,False
kan,final,-8,2,5,4.203977368888445e-05,1.0917920917563606e-05,0.00013367010978981853,False
kan,final,-8,3,5,0.00019672092457767576,2.203547592216637e-05,0.00034936523297801614,False
kan,final,-8,4,5,4.8217571020359173e-05,1.0649728210410103e-05,0.0002245467039756477,False
kan,final,-8,5,5,3.9446564187528566e-05,1.11085446405923e-05,0.00017703439516481012,False
kan,final,-8,6,5,3.4844088077079505e-05,1.9676010197144933e-05,0.00031479340395890176,False
kan,final,-8,7,5,2.489596045052167e-05,1.767049980117008e-05,0.00026619102573022246,False
kan,final,-8,8,5,2.0581577700795606e-05,1.0268538062518928e-05,0.0003711046592798084,False
kan,final,-8,9,5,3.957480294047855e-05,2.185508310503792e-05,0.00013931107241660357,False
kan,final,-8,10,5,0.0001344425545539707,2.7911011784453876e-05,0.0002716032031457871,False
kan,final,-8,11,5,3.5649882192956284e-05,2.924529508163687e-05,8.346407412318513e-05,False
kan,final,-8,12,5,3.970873149228282e-05,2.1662504877895117e-05,0.0002500376140233129,False
kan,final,-8,13,5,2.7840134862344712e-05,1.2249000064912252e-05,0.0001263754820683971,False
kan,final,-8,14,5,2.69170541287167e-05,1.2712115676549729e-05,0.00022208693553693593,False
kan,final,-8,15,5,3.4612145100254565e-05,6.123294042481575e-06,0.00019771642109844834,False
kan,final,-7,-15,5,4.720298238680698e-05,1.0003018360293936e-05,0.00013408278755377978,False
kan,final,-7,-14,5,1.8751499737845734e-05,1.145836813520873e-05,0.00014077062951400876,False
kan,final,-7,-13,5,4.3249252485111356e-05,1.727353264868725e-05,0.00012455832620617002,False
kan,final,-7,-12,5,3.561564881238155e-05,2.8011176254949532e-05,0.00017634152027312666,False
kan,final,-7,-11,5,4.1877567127812654e-05,2.054091055470053e-05,0.00020766336820088327,False
kan,final,-7,-10,5,9.251105802832171e-05,1.715524740575347e-05,0.00016105908434838057,False
kan,final,-7,-9,5,8.492885535815731e-05,2.6565510779619217e-05,0.0001438555191271007,False
kan,final,-7,-8,5,3.528532033669762e-05,1.7966189261642285e-05,0.00021832426136825234,False
kan,final,-7,-7,5,0.032828252762556076,0.023977769538760185,0.03296126797795296,True
kan,final,-7,-6,5,3.820515485131182e-05,1.616140980331693e-05,6.011792356730439e-05,False
kan,final,-7,-5,5,4.973929753759876e-05,2.0502622646745294e-05,0.0002609999501146376,False
kan,final,-7,-4,5,3.664629548438825e-05,9.489957847108599e-06,0.0001657389511819929,False
kan,final,-7,-3,5,8.169841021299362e-05,2.0683795810327865e-05,8.781732321949676e-05,False
kan,final,-7,-2,5,5.094028892926872e-05,1.2777719348378014e-05,0.00011370558058843017,False
