run,seed,fraction,edge_count,strategy,repeat,train_accuracy,test_accuracy,baseline_test_accuracy,test_accuracy_delta
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,2,0.9940476417541504,0.974399983882904,0.9760000109672546,-0.001600027084350586
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,3,0.9970238208770752,0.9711999893188477,0.9760000109672546,-0.004800021648406982
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,4,1.0,0.9535999894142151,0.9760000109672546,-0.02240002155303955
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,5,0.9732142686843872,0.9359999895095825,0.9760000109672546,-0.04000002145767212
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,6,0.9940476417541504,0.9599999785423279,0.9760000109672546,-0.016000032424926758
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,7,0.9970238208770752,0.9631999731063843,0.9760000109672546,-0.012800037860870361
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,8,1.0,0.9648000001907349,0.9760000109672546,-0.011200010776519775
kan_p31_f35_wd0.3_seed10,10,0.05,65,random,9,1.0,0.9679999947547913,0.9760000109672546,-0.008000016212463379
kan_p31_f35_wd0.3_seed10,10,0.1,130,top,0,0.9285714030265808,0.897599995136261,0.9760000109672546,-0.07840001583099365
kan_p31_f35_wd0.3_seed10,10,0.1,130,bottom,0,1.0,0.9855999946594238,0.9760000109672546,0.00959998369216919
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,0,0.9642857313156128,0.8831999897956848,0.9760000109672546,-0.09280002117156982
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,1,0.9642857313156128,0.9007999897003174,0.9760000109672546,-0.07520002126693726
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,2,0.9583333134651184,0.8575999736785889,0.9760000109672546,-0.11840003728866577
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,3,0.9642857313156128,0.897599995136261,0.9760000109672546,-0.07840001583099365
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,4,0.9583333134651184,0.9151999950408936,0.9760000109672546,-0.060800015926361084
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,5,0.949404776096344,0.897599995136261,0.9760000109672546,-0.07840001583099365
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,6,0.9851190447807312,0.8944000005722046,0.9760000109672546,-0.08160001039505005
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,7,0.976190447807312,0.9296000003814697,0.9760000109672546,-0.04640001058578491
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,8,0.961309552192688,0.9327999949455261,0.9760000109672546,-0.043200016021728516
kan_p31_f35_wd0.3_seed10,10,0.1,130,random,9,0.9553571343421936,0.8751999735832214,0.9760000109672546,-0.1008000373840332
kan_p31_f35_wd0.3_seed11,11,0.01,13,top,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,1,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,2,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,3,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,4,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,5,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,6,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,7,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,8,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.01,13,random,9,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.05,65,top,0,0.9970238208770752,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed11,11,0.05,65,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,0,1.0,0.9919999837875366,1.0,-0.008000016212463379
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,1,0.9940476417541504,0.995199978351593,1.0,-0.004800021648406982
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,2,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,3,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,4,1.0,0.9968000054359436,1.0,-0.0031999945640563965
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,5,0.9910714030265808,0.9919999837875366,1.0,-0.008000016212463379
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,6,0.9970238208770752,0.9968000054359436,1.0,-0.0031999945640563965
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,7,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,8,0.9940476417541504,0.9968000054359436,1.0,-0.0031999945640563965
kan_p31_f35_wd0.3_seed11,11,0.05,65,random,9,0.9970238208770752,0.9968000054359436,1.0,-0.0031999945640563965
kan_p31_f35_wd0.3_seed11,11,0.1,130,top,0,0.9434523582458496,0.9440000057220459,1.0,-0.0559999942779541
kan_p31_f35_wd0.3_seed11,11,0.1,130,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,0,0.976190447807312,0.9520000219345093,1.0,-0.04799997806549072
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,1,0.9702380895614624,0.9664000272750854,1.0,-0.03359997272491455
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,2,0.9642857313156128,0.9631999731063843,1.0,-0.03680002689361572
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,3,0.9464285969734192,0.9455999732017517,1.0,-0.05440002679824829
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,4,0.988095223903656,0.9887999892234802,1.0,-0.011200010776519775
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,5,0.9910714030265808,0.9616000056266785,1.0,-0.03839999437332153
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,6,0.9642857313156128,0.9679999947547913,1.0,-0.03200000524520874
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,7,0.988095223903656,0.974399983882904,1.0,-0.025600016117095947
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,8,0.9702380895614624,0.9728000164031982,1.0,-0.027199983596801758
kan_p31_f35_wd0.3_seed11,11,0.1,130,random,9,0.976190447807312,0.9648000001907349,1.0,-0.03519999980926514
kan_p31_f35_wd0.3_seed12,12,0.01,13,top,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,1,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,2,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,3,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,4,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,5,1.0,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,6,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,7,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,8,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.01,13,random,9,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.05,65,top,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.05,65,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,1,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,2,1.0,0.9983999729156494,1.0,-0.001600027084350586
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,3,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,4,1.0,0.9919999837875366,1.0,-0.008000016212463379
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,5,1.0,0.995199978351593,1.0,-0.004800021648406982
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,6,1.0,0.9936000108718872,1.0,-0.006399989128112793
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,7,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,8,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.05,65,random,9,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.1,130,top,0,0.961309552192688,0.9488000273704529,1.0,-0.05119997262954712
kan_p31_f35_wd0.3_seed12,12,0.1,130,bottom,0,1.0,1.0,1.0,0.0
kan_p31_f35_wd0.3_seed12,12,0.1,130,random,0,0.9672619104385376,0.9599999785423279,1.0,-0.04000002145767212
